month,day,week,airline,ori,dep_del,taxi,sch_elp,dist,sch_dep_m,act_dep_m,wh_off,sch_arr_m,wh_on,temp,dew,hum,wind,w_spd,gust,pres,sch_dep,sch_arr
12,3,2,0,13,35,28,346,2296,1205,1240,1268,1371,1398,55,50,83,3,10,0,29.89,23,17
1,23,4,7,74,-12,31,90,372,485,473,504,575,555,53,47,80,3,3,0,30.24,37,50
11,25,1,7,36,0,16,87,337,1260,1260,1276,1347,1339,53,39,59,15,14,0,30.08,33,27
11,25,1,7,12,-8,11,329,2161,1152,1144,1155,1301,1285,54,39,57,15,15,0,30.08,22,44
11,26,2,7,35,-7,18,98,414,941,934,952,1039,1024,48,42,80,10,18,0,29.68,22,25
12,12,4,2,8,-4,26,406,2704,400,396,422,626,614,58,55,90,0,0,0,30.3,43,27
11,19,2,3,36,-5,99,97,337,510,505,604,607,594,61,50,67,15,31,37,29.81,36,51
11,14,4,0,43,-1,41,383,2585,1092,1091,1132,1295,1286,58,49,72,12,5,0,30.13,23,45
11,30,6,7,62,58,42,95,421,834,892,934,929,979,49,43,80,10,23,0,29.87,39,23
11,20,3,6,69,-17,27,77,262,1085,1068,1095,1162,1137,61,38,42,7,7,0,29.56,24,38
11,15,5,7,57,-2,34,114,550,450,448,482,564,554,61,52,72,0,0,0,30.21,37,52
1,14,2,7,54,-5,23,286,1846,600,595,618,766,753,56,40,55,15,13,0,30.22,39,37
12,26,4,6,63,28,14,71,199,1088,1116,1130,1159,1179,50,43,77,16,7,0,29.96,25,37
12,13,5,6,47,93,41,269,1589,1034,1127,1168,1183,1268,58,53,84,13,6,0,30.09,18,44
12,10,2,8,35,8,9,90,414,1220,1228,1237,1310,1310,54,50,86,0,0,0,30.21,18,42
12,22,7,7,36,62,51,96,337,1155,1217,1268,1251,1305,49,44,83,8,6,0,29.88,22,43
1,1,3,3,3,3,16,326,2139,490,493,509,636,631,56,52,87,16,16,0,30.16,41,19
12,13,5,7,35,158,46,98,414,643,801,847,741,891,60,52,75,10,13,0,30.08,30,32
12,12,4,3,72,17,25,130,599,703,720,745,773,782,59,56,90,4,9,0,30.26,43,26
12,28,6,6,9,-1,14,95,326,1225,1224,1238,1320,1311,53,47,80,15,13,0,30.13,24,41
12,7,6,7,35,-8,47,98,414,725,717,764,823,807,62,55,78,9,23,38,29.87,42,23
12,15,7,6,16,-3,18,254,1476,1095,1092,1110,1229,1218,50,43,77,15,9,0,30.25,24,39
12,20,5,2,37,-6,13,90,354,833,827,840,923,909,56,49,77,6,3,0,30.14,24,30
1,12,7,5,50,5,11,300,2338,860,865,876,1280,1277,50,43,77,14,7,0,30.15,17,40
12,6,5,6,62,202,15,90,421,1220,1422,1437,1310,64,55,53,93,1,9,0,29.93,0,3
12,23,1,6,79,-5,11,152,751,503,498,509,595,582,50,43,77,5,3,0,29.93,34,49
12,11,3,3,72,30,29,121,599,900,930,959,961,983,58,53,84,6,3,0,30.17,39,28
12,22,7,7,28,6,23,311,2398,945,951,974,1376,1374,50,43,77,16,7,0,29.88,36,29
11,4,1,0,33,-10,19,405,2586,1275,1265,1284,60,42,50,47,89,16,9,0,30.0,9,8
12,26,4,7,36,2,19,96,337,1260,1262,1281,1356,1350,50,37,61,15,7,0,29.99,33,27
12,2,1,7,71,14,13,133,679,801,815,828,934,940,58,52,81,5,6,0,30.03,27,34
12,26,4,7,23,-11,37,385,2565,720,709,746,925,906,55,39,55,15,13,0,29.91,26,29
11,1,5,1,36,-5,18,85,337,1230,1225,1243,1315,1302,60,29,31,12,3,0,30.1,19,48
1,17,5,6,74,-5,13,94,372,1104,1099,1112,1198,1185,52,39,61,0,0,0,30.27,21,31
11,30,6,7,74,-9,15,101,372,485,476,491,586,569,48,40,74,10,12,0,29.97,39,50
12,15,7,1,17,-11,41,374,2442,1045,1034,1075,1239,1220,50,43,77,15,9,0,30.25,24,39
12,2,1,7,23,96,81,385,2565,1020,1116,1197,1225,1313,56,51,84,1,7,0,30.11,20,46
12,14,6,6,53,-2,27,92,363,435,433,460,527,517,55,46,72,15,18,28,30.08,48,30
12,18,3,6,42,176,33,86,329,638,814,847,724,892,58,50,75,17,7,0,29.97,31,34
12,6,5,3,3,217,38,328,2139,1029,1246,1284,1177,1386,55,54,94,3,10,0,29.95,22,20
12,14,6,7,65,7,17,366,2400,404,411,428,590,589,56,45,67,15,20,0,30.09,36,45
12,13,5,7,30,37,32,253,1635,1110,1147,1179,1243,1272,58,53,84,13,6,0,30.09,18,44
12,22,7,7,23,35,31,379,2565,510,545,576,709,736,53,46,77,15,17,0,29.76,37,38
1,25,6,2,37,0,58,94,354,405,405,463,499,491,55,52,89,3,6,0,30.15,51,27
12,15,7,7,29,6,12,360,2419,965,971,983,1145,1143,52,43,71,16,9,0,30.24,27,34
12,16,1,0,19,11,29,247,1464,550,561,590,677,680,54,39,57,14,3,0,30.33,35,42
11,26,2,7,30,-3,16,253,1635,1110,1107,1123,1243,1232,50,46,86,17,9,0,29.56,26,39
1,25,6,7,36,63,47,105,337,645,708,755,750,805,55,52,89,2,3,0,30.09,26,25
1,22,3,7,35,31,42,106,414,644,675,717,750,773,56,50,80,4,5,0,30.23,39,35
1,3,5,8,35,-5,21,90,414,1220,1215,1236,1310,1297,56,46,69,10,13,0,30.24,21,44
12,22,7,6,7,68,13,121,522,689,757,770,750,810,56,45,67,15,17,25,29.77,40,25
11,16,6,6,7,154,13,120,522,760,914,927,820,966,59,51,75,16,18,0,30.06,36,23
12,9,1,3,71,-4,27,130,679,1020,1016,1043,1150,1138,55,46,72,16,6,0,30.19,24,37
