,TAXI_OUT
26029,24
16209,20
9417,31
13326,29
5140,20
8164,13
1096,11
15886,31
21334,25
4611,36
25358,13
26328,19
26859,15
23473,18
26048,24
22441,18
5165,22
10125,28
27538,18
18171,20
26377,12
12706,19
1359,15
1532,23
11657,33
5259,22
21978,39
24085,16
26365,15
15239,19
7220,31
16533,20
3340,21
416,33
22217,14
4441,17
27863,12
24647,13
8354,23
14378,17
24616,20
11371,25
11137,19
10660,20
4757,17
25668,15
25570,30
19105,23
24972,21
10784,38
10992,19
23615,23
9873,16
17900,35
8489,14
12451,18
10141,36
15441,20
269,19
26190,31
14024,14
21439,26
4174,28
16005,19
26998,19
5900,22
9013,18
12568,17
4010,28
15534,15
26207,15
20199,17
14207,20
17731,12
8096,11
14753,28
4065,22
21636,22
27883,19
7900,24
14001,33
8367,30
5548,25
25985,15
22329,29
15285,19
2854,26
9904,37
10839,22
22711,33
20563,29
18569,27
5764,31
3936,15
1780,13
7446,19
27682,18
16810,24
5627,25
6976,30
20554,22
9245,12
28765,29
20518,32
13167,21
28075,29
963,27
19339,15
25792,22
16625,18
2479,25
1383,14
9795,20
8420,16
21874,14
15725,19
1682,16
18236,11
8558,26
9792,23
21868,18
28581,23
17098,24
8961,14
5344,29
9311,12
26348,19
7339,20
15296,17
10320,37
22990,32
22945,14
5446,13
4567,25
4446,13
18538,32
27490,17
5124,23
21508,19
17718,12
26657,12
700,16
17871,30
28437,18
7973,16
6369,22
11506,26
21902,16
22557,32
14313,29
19792,22
23879,25
25944,13
12109,20
4907,24
15526,19
1721,11
25377,13
21712,20
15063,34
3734,17
9730,29
14635,19
7048,17
15597,14
4519,17
19534,28
27447,22
19189,29
15601,15
4477,17
21089,35
25021,20
10440,35
12641,17
8509,21
2879,15
13097,15
6737,29
20658,13
18390,17
15268,27
20360,30
24154,10
11629,23
28610,18
26295,18
12994,24
14064,14
17395,28
9974,22
10641,21
4023,15
6985,24
10694,27
25698,13
28127,16
19123,27
19020,20
7235,21
9607,31
26475,13
2929,27
27137,14
3693,12
7503,20
21034,16
26521,19
3031,17
153,17
19018,14
9288,29
345,22
15466,19
13497,22
28474,20
7071,16
4801,16
25314,16
23205,15
15513,22
21932,20
1658,13
28248,18
3117,16
28506,28
11282,20
21352,20
23769,17
6551,10
12024,23
13161,19
19899,13
21333,21
10566,24
13509,37
7955,18
16186,12
13414,21
28801,15
13681,16
6069,28
10110,33
28542,13
12067,25
17806,32
5026,24
11536,16
13971,33
13266,31
11215,18
9662,15
2358,16
11872,30
11138,21
21646,17
21038,24
3064,18
4073,17
6839,17
3161,33
1305,23
22359,33
753,13
24598,17
7224,23
15706,19
4044,20
17711,16
5342,12
54,27
14779,20
21854,14
1263,15
4193,29
4613,21
9116,25
13780,35
26711,32
10879,23
23886,14
2629,16
25916,21
17967,22
22027,20
28044,23
5948,22
20609,18
17375,18
2128,29
28767,31
20637,20
28497,35
27820,17
4009,13
3874,17
6182,25
13373,23
6442,31
16097,11
3297,18
19735,29
20544,28
6213,22
20677,22
14902,38
17717,20
2496,19
5938,19
11149,16
27830,20
25752,22
4422,18
16586,21
12801,19
16938,19
10165,33
11534,18
4019,17
13758,18
21643,13
15680,25
22341,14
1104,14
23728,26
7025,13
4101,13
17729,15
16779,20
2785,16
20728,33
27856,16
7505,21
8230,17
19612,22
17296,15
16064,18
17596,25
10662,29
6117,15
14389,37
10277,40
23962,23
14712,13
27397,15
14772,14
27725,26
21889,12
21473,14
24416,21
17136,29
6829,24
15917,26
15357,28
12645,18
6355,22
7497,26
5250,17
5427,14
263,16
27702,19
5782,39
8207,13
20702,21
11201,20
9283,13
15445,25
6131,22
18951,23
214,21
18616,31
25531,20
21190,25
24641,23
19652,21
18469,32
7951,18
4638,20
3285,27
4197,19
3126,11
25092,36
26972,26
27922,12
27333,29
20751,33
18156,13
23104,18
13714,18
13133,29
1427,13
6392,18
11000,23
19395,23
28142,20
12933,20
13683,16
17164,19
549,17
22675,25
27941,13
15230,18
7414,28
10002,17
9508,30
20448,18
10367,19
7155,23
27311,27
22364,31
912,13
27613,13
18459,30
18748,31
4048,16
13333,19
22265,19
17529,32
24271,24
27359,23
20103,17
6444,27
1299,34
1063,13
11163,20
27041,13
5679,16
2711,16
14562,36
21021,18
24926,31
28577,35
26566,30
19819,15
27319,31
4942,28
25695,20
11257,17
5616,20
7502,29
1982,12
12171,14
4944,32
13577,21
4764,22
17081,35
15686,19
21517,27
23902,29
24673,10
1673,21
9215,18
3506,15
13237,24
3106,11
5970,23
24790,29
10510,20
13629,22
1560,12
5480,29
26122,11
15932,31
8371,19
4186,22
27649,11
22728,14
28019,21
8021,20
7511,23
23301,17
42,11
9396,27
27617,18
25352,14
23034,19
17134,23
12998,30
4715,27
26581,36
14941,18
15280,17
7435,13
10783,17
25534,25
1523,10
9007,16
27368,34
12824,27
28604,32
26719,22
7263,33
15331,24
806,18
24074,23
20948,21
3166,11
14115,23
11730,16
108,16
9130,28
25289,29
8328,20
28099,14
23666,16
4401,15
12366,17
8749,17
10074,10
9937,39
11936,17
21436,24
12911,13
12959,14
21769,23
18526,24
26532,17
20309,28
20121,25
17103,31
5858,27
10424,31
25351,25
19585,20
27531,30
1559,14
8297,13
20591,17
7783,27
9596,21
9144,17
25162,20
3761,24
4158,22
15660,14
2010,17
15330,15
12557,28
10361,26
4696,22
27506,16
26987,20
22381,20
21481,18
22662,23
9151,15
18597,29
956,23
28629,16
21230,12
3254,11
21255,17
22823,12
3212,19
4950,17
15924,20
24138,23
3304,17
22236,15
24104,40
257,19
12449,20
10626,34
10536,11
5798,19
27059,24
19834,13
16177,14
10271,36
20300,15
7494,21
9928,32
23138,15
11367,17
7546,17
22979,14
5121,21
24818,25
9851,19
14764,17
5523,15
15646,24
27045,17
14928,19
25201,15
26887,16
23224,16
24816,21
25941,11
3854,39
22612,17
25452,10
13258,21
5805,25
9277,15
21393,26
25716,20
14246,20
1332,20
23222,15
6373,26
15443,10
8785,24
24041,13
19713,12
2657,13
12900,18
5134,22
26041,16
9647,21
26935,12
6983,31
6409,21
10769,23
14677,20
25053,18
480,23
23937,30
16391,15
9473,18
10746,17
10781,19
9170,15
21645,14
18453,21
17151,19
909,12
12231,15
11141,15
27551,15
4748,18
14386,18
12707,15
17251,15
22871,11
20666,34
25858,35
17316,27
3830,32
27053,15
19786,13
15367,26
14510,17
10629,15
9497,17
4490,16
26133,13
9372,16
4222,20
7295,26
27623,26
11263,14
12140,37
23042,20
12977,30
25796,28
20402,15
8463,15
731,13
14479,31
15207,27
8033,18
9942,34
16072,22
8498,29
8954,12
24968,16
10650,25
16681,17
19360,16
19776,25
1791,14
24994,21
374,20
21103,28
11364,23
3620,18
16816,15
593,17
5930,18
4916,15
5356,19
16249,12
3672,20
7672,24
3833,16
9065,22
28037,15
20185,18
9166,17
3464,16
19520,34
3769,23
8512,20
13535,40
7942,12
24919,30
8470,16
7323,23
3238,20
17446,25
11096,16
14039,34
20618,28
20750,33
26640,27
36,10
17911,10
28632,20
12145,28
17193,28
16490,13
19150,13
18195,20
9397,20
4616,17
19172,29
10655,20
14363,33
24881,26
28109,16
13288,20
14400,34
17749,12
4974,26
8742,22
27392,17
9532,19
6239,17
23524,13
3668,17
17570,19
22356,14
11754,15
14853,11
10269,30
26621,39
22146,12
7010,16
17674,19
21072,41
21278,22
5814,21
6332,33
16222,28
17101,37
23262,26
5928,30
16688,19
28442,15
19391,10
4871,13
3183,14
10483,18
26452,14
2306,27
14205,11
17765,24
3339,22
18242,18
13885,30
28300,21
14380,16
16642,20
4346,17
15752,36
19670,18
24030,38
18047,41
22932,11
27379,15
17276,18
8165,9
20017,12
16308,16
