MONTH,DAY_OF_MONTH,DAY_OF_WEEK,OP_UNIQUE_CARRIER,ORIGIN,DEP_DELAY,TAXI_OUT,CRS_ELAPSED_TIME,DISTANCE,CRS_DEP_M,DEP_TIME_M,WHEELS_OFF_M,CRS_ARR_M,Pred_Wheels_On,Temperature,Dew Point,Humidity,Wind,Wind Speed,Wind Gust,Pressure,Condition,sch_dep,sch_arr
11,27,3,AA,JFK,28,31,399,2586,630,658,689,849,869,50,37,61,W,12,0,29.51,Mostly Cloudy,33,34
11,27,3,WN,LAX,0,18,90,337,505,505,523,595,587,50,40,68,SSW,7,0,29.56,Mostly Cloudy,39,49
12,29,7,OO,RDM,16,26,117,462,363,379,405,480,488,53,48,83,W,9,0,30.14,Mostly Cloudy,52,32
11,15,5,F9,LAS,28,18,110,414,780,808,826,890,910,59,53,81,W,17,0,30.15,Mostly Cloudy,26,34
11,30,6,AS,SEA,128,20,140,679,710,838,858,850,970,49,43,80,SE,23,0,29.87,Cloudy / Windy,39,23
1,14,2,OO,SBA,47,8,82,262,831,878,886,913,952,53,41,64,W,16,0,30.2,Fair,22,28
11,1,5,UA,LAX,-7,16,98,337,480,473,489,578,563,59,39,48,NE,3,0,30.17,Fair,35,51
12,22,7,UA,EWR,-5,42,401,2565,1139,1134,1176,1360,1347,50,43,77,WNW,7,0,29.88,Fair,36,29
1,17,5,OO,SBA,-1,9,81,262,360,359,368,441,432,42,38,85,S,3,0,30.28,Mostly Cloudy,26,26
11,23,6,UA,LIH,-15,8,307,2447,986,971,979,1413,1390,53,46,77,WNW,8,0,30.18,Fair,23,20
11,12,2,UA,LAX,-7,19,98,337,480,473,492,578,563,61,52,72,CALM,0,0,30.08,Mostly Cloudy,35,52
12,25,3,AA,PHL,4,15,386,2521,960,964,979,1166,1162,54,43,66,NE,24,0,29.7,Cloudy / Windy,24,37
12,3,2,WN,SAN,2,13,95,447,1070,1072,1085,1165,1159,57,52,83,CALM,0,0,29.93,Cloudy,26,33
1,8,3,DL,CVG,-1,20,316,2036,435,434,454,571,562,55,47,74,W,10,0,30.15,Partly Cloudy,39,48
1,21,2,AS,LAS,-12,23,100,414,695,683,706,795,775,58,48,70,S,12,0,30.1,Cloudy,39,36
1,15,3,UA,LAX,-9,15,96,337,390,381,396,486,469,41,39,93,CALM,0,0,30.11,Mostly Cloudy,27,24
11,4,1,OO,FAT,-10,20,64,158,1075,1065,1085,1139,1121,55,47,74,WNW,18,0,29.96,Fair,25,37
12,2,1,AS,LAX,134,21,91,337,1110,1244,1265,1201,1327,56,51,84,CALM,0,0,30.12,Light Rain,32,28
11,24,7,UA,TPA,-5,11,355,2393,1130,1125,1136,1305,1292,52,47,83,WNW,9,0,30.08,Fair,25,46
12,19,4,B6,LGB,1,22,94,354,405,406,428,499,492,53,49,86,SSE,6,0,30.21,Mostly Cloudy,51,37
12,17,2,AA,CLT,0,13,348,2296,686,686,699,854,846,55,40,57,CALM,0,0,30.09,Cloudy,30,33
11,12,2,OO,EUG,-9,9,103,451,857,848,857,960,943,70,48,46,W,8,0,29.99,Mostly Cloudy,22,32
12,22,7,UA,EWR,2,24,400,2565,1020,1022,1046,1240,1234,50,44,80,WNW,7,0,29.87,Fair,30,44
11,4,1,OO,SNA,0,7,96,372,1214,1214,1221,1310,1302,53,46,77,WNW,7,0,29.99,Fair,22,47
12,25,3,AA,PHX,38,27,134,651,689,727,754,763,793,54,43,66,SE,10,0,29.74,Cloudy,38,29
12,2,1,UA,EWR,66,58,370,2565,900,966,1024,1090,1148,56,51,84,ENE,8,0,30.08,Mostly Cloudy,30,34
12,4,3,WN,LAS,35,21,90,414,1220,1255,1276,1310,1337,56,51,84,CALM,0,0,29.94,Cloudy,27,27
1,24,5,UA,EWR,1,27,380,2565,420,421,448,620,613,55,50,83,CALM,0,0,30.19,Mostly Cloudy,42,17
1,10,5,OO,BOI,478,11,133,522,395,873,884,468,938,55,46,72,W,16,0,30.26,Mostly Cloudy,24,27
12,14,6,AS,SAN,-9,14,99,447,1040,1031,1045,1139,1122,55,44,67,W,13,0,30.02,Mostly Cloudy,19,32
11,14,4,UA,AUS,-8,12,240,1504,360,352,364,480,464,56,49,77,SSE,6,0,30.06,Mostly Cloudy,24,23
1,6,1,AS,SEA,21,20,140,679,595,616,636,735,748,56,42,60,VAR,3,0,30.43,Fair,38,35
1,17,5,UA,SEA,-5,14,135,679,975,970,984,1110,1097,52,42,69,NNW,3,0,30.28,Cloudy,28,34
11,21,4,B6,BOS,19,33,408,2704,540,559,592,768,779,61,47,60,E,6,0,29.87,Fair,39,41
